http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Blue Rainbow Ombre;This dreamy blue rainbow ombre style takes the bright color style in a cool, casual direction. Worn over a natural brunette shade, this look won't subject all of your hair to the lightening process, and you can let it grow out for months without worrying about touch ups.;http://hairstylehub.com/wp-content/uploads/2017/01/Blue-Rainbow-Ombre-199x300.jpg; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Subtle Ocean Blue Ombre;We love the rich palette and subtle transition between natural black hair and this ocean blue ombre. Because it's stylish, subtle, and perfectly executed, this blue hairstyle transitions surprisingly nicely into professional spaces.;http://hairstylehub.com/wp-content/uploads/2017/01/Subtle-Ocean-Blue-Ombre-249x300.jpg; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Platinum With Aqua Ombre;Give your platinum blonde locks a splash of mermaid style with this aqua shade of blue ombre.;http://hairstylehub.com/wp-content/uploads/2017/01/Platinum-With-Aqua-Ombre-200x300.jpg; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Blue Ombre Crochet Braids;If you're looking for a low-commitment blue ombre style, try these accent colored tips on your next crochet braided style. While many brands sell synthetic hair that comes in pre-colored ombre varieties, crafty types can purchase blonde ombre hair and try a DIY dye job at home. Mixing acrylic paint with alcohol and spraying it on the hair, then leaving it to set for several hours can give you as many ombre options as there are swatches of paint! ;http://hairstylehub.com/wp-content/uploads/2017/01/Blue-Ombre-Crochet-Braids-300x169.jpg; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Chocolate Brown With Sapphire Blue Ombre;This electric sapphire shade is a bold accent when paired with chocolate brown hair, but because both colors are rather dark, the contrast doesn't come across as distracting or overbearing.;http://hairstylehub.com/wp-content/uploads/2017/01/Chocolate-Brown-With-Sapphire-Blue-Ombre-135x300.jpg; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Pastel Teal Ombre;If bright jewel tones aren't your thing, try this ultra trendy shade of pastel teal. Pairing an out-of-this-world ombre color with an earthy brunette shade makes the overall look more understated than if the rest of the hair was platinum blonde or jet black.;http://hairstylehub.com/wp-content/uploads/2017/01/Pastel-Teal-Ombre-198x300.jpg; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Long Icy Blue Ombre;The stonewashed version of the denim hair trend, this long blue ombre gets so light that some pieces are a silvery white. Although lighter hair colors are more often associated with warmer weather, we think this icy blue ombre would make a great winter look.;http://hairstylehub.com/wp-content/uploads/2017/01/Long-Icy-Blue-Ombre-298x300.jpg; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Blue Ombre Blunt Cut;This mid length blunt cut looks edgy and avant garde with a blue-green ombre color that starts more than half way up the hair.;http://hairstylehub.com/wp-content/uploads/2017/01/Blue-Ombre-Blunt-Cut-275x300.png; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Blue Ombre Box Braids;Make your box braids pop with a candy colored style that looks good enough to eat. With the rainbow hair trend continuing in popularity, it's easy to find synthetic braiding hair in a variety of pastel and jewel tones.;http://hairstylehub.com/wp-content/uploads/2017/01/Blue-Ombre-Box-Braids-200x300.jpg; ; 
http://hairstylehub.com/30-blue-ombre-hair-color-ideas/;Muted Blue Grey Ombre;This greyish blue ombre style looks soft and gauzy thanks to the muted tones, making it one of the most chic ways to pull off blue ombre hair color.;http://hairstylehub.com/wp-content/uploads/2017/01/Muted-Blue-Grey-Ombre-300x296.jpg; ; 
