http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#2: African American Queen";"Short hairstyles for black women are killing the hair game lately - this look is leading the pack. The side part of this gorgeous bob sits lower than your average side part for a statement sweep that speaks chic and perfection.";http://i1.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/2-black-sideparted-bob.jpg?w=500;"Black Side-Parted Bob";https://www.instagram.com/p/BAQD8fiBjv6/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#3: Short, Black, and Choppy";"The wonderful side effect that accompanies short haircuts is the attention they draw to your whole look. A choppy pixie reveals your inner sassy girl. It's fun, playful, sexy and low maintenance. What else could you expect from a cut?";http://i1.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/3-black-choppy-pixie.jpg?w=500;"Black Choppy Pixie";https://www.instagram.com/p/4rPKA5uC3U/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#4: Black Phoenix";"Like the avian creature from the legend, this hair is on fire! Unleash your inner Phoenix and let the pigeons, eagles and doves of the world quiver in your presence. This phenomenal hairstyle is not a mere hairstyle, but a statement piece.";http://i2.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/4-red-pixie-for-black-women.jpg?w=500;"Red Pixie For Black Women";https://www.instagram.com/p/BBng4S4hplw/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#5: Black Royalty";"Short haircuts for black women are stylish and appealing even in their shortest lengths. The feathered pieces settle well and create a vision of textured flawlessness.";http://i0.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/5-pixie-hairstyle-for-black-women.jpg?w=500;"Pixie Hairstyle For Black Women";https://www.instagram.com/p/_knpMvhjvt/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#6: Curly Pixie Haircut";"Here's another cute pixie variety to add to the stock of classy black women hairstyles. This curly style is neat and discreet, but it oozes good taste and sophistication.";http://i2.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/11-black-curly-pixie.jpg?w=500;"Black Curly Pixie";https://www.instagram.com/p/2JoWyaDl7Q/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#7: Black Beauty";"This style gives the 'Jersey Bump' a run for its money. While not as extreme as the famed 'bump', this fluff takes a typical African American hairstyle and adds a little flavor. Accomplish this by fluffing the back of your crown. Whip it real good.";http://i2.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/12-disheveled-pixie-for-thick-hair.jpg?w=500;"Disheveled Pixie For Thick Hair";https://www.instagram.com/p/BAspvqnDl93/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#8: Spiral Ombre Hairstyle";"The look right here gives a new meaning to 'fiery.' The blonde spirals offer the flame effect encouraged by the glorious texture. Get to your hair stylist and have her layer your locks, girl.";http://i0.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/13-two-tone-short-curly-hairstyle.jpg?w=500;"Two Tone Short Curly Hairstyle";https://www.instagram.com/p/BBqSV14AoaH/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#9: Short Maroon Tresses";"Not only is the style spunky, the color sets you apart from other black women. Short hairstyles with a tapered silhouette are popular among African American beauties with thick hair. If you have a similar cut, why not visit the barber and get him to refresh your look by lining you up?";http://i2.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/14-short-tapered-hairstyle-for-black-women.jpg?w=500;"Short Tapered Hairstyle For Black Women";https://www.instagram.com/p/2HakolhjpN/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#10: Rosewood Ombre Hairstyle";"The days of subtle highlights are gone with the wind. Bring out the color of your skin tone with an exquisite rosewood dye job. Also, keep them guessing with a side swept bang - they don't need to know what's behind that veil. Not yet.";http://i0.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/9-African-American-asymmetrical-bob.jpg?w=500;"African American Asymmetrical Bob";https://www.instagram.com/p/_Qg2-3hjsl/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#11: Black Curls of Softness";"Short hairstyles for black women can vary in texture and type - in this example we see soft, controlled curls that are obtained through a hair relaxer followed by hot rollers or a large barreled curling iron.";http://i0.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/1-curly-black-pixie.jpg?resize=500%2C507;"Curly Black Pixie";https://www.instagram.com/p/87GcfYjlwk/
http://therighthairstyles.com/30-great-short-hairstyles-for-black-women/;"#12: Short Dramatic Edging";"Beautiful hair isn't always sweet and orderly - if you like a bit of an edge to your style, why not add some actual edges? This hairdo features a long, pointed tip at the nape of the neck, as well as curved edges at the ear line and choppy layers up top.";http://i1.wp.com/therighthairstyles.com/wp-content/uploads/2013/11/2-short-black-haircut-with-highlights.jpg?resize=500%2C500;"Short Black Haircut With Highlights";https://www.instagram.com/p/-7NMS2LWPk/
